"","index","employees.employee.employment.public.union.board.political.labor.employer.government","general.attorney.briefs.solicitor.argued.assistant.cause.curiae.brief.jr","communist.party.organization.board.foreign.registration.act.control.movement.organizations","school.religious.schools.student.establishment.religion.students.forum.program.university","grand.jury.press.information.footnote.privilege.news.criminal.sources.investigation","mr.debate.senator.clause.legislative.said.privilege.plaintiff.office.house","act.congress.committee.answer.service.inquiry.president.united.questions.security","opinion.filed.joined.district.post.respondents.held.argued.dissenting.jj","speech.government.interest.act.interests.governmental.opinion.case.united.states","advertising.commercial.speech.regulations.information.central.cable.marketing.interest.broadcasting","candidates.candidate.political.election.footnote.contributions.party.expenditures.contribution.campaign","injunction.review.maryland.district.restraint.prior.judicial.order.footnote.relief","limits.federal.election.buckley.bcra.contributions.campaign.political.candidates.candidate","affirmed.syllabus.decided.argued.freedom.held.act.law.case.reversed","false.statements.jury.damages.petitioner.malice.times.respondent.actual.trial","solicitation.charitable.fraud.paid.fee.organizations.requirement.telemarketers.circulators.north","flag.words.peace.conviction.ohio.convicted.conduct.street.symbol.group","obscene.obscenity.material.materials.film.sexual.standards.films.indecent.minors","religious.tax.prison.religion.inmates.rfra.exercise.burden.inmate.sales","ordinance.city.picketing.public.streets.ordinances.park.police.permit.regulation","syllabus","caseName"
"155",154,0,0.17910447761194,0.0149253731343284,0,0.0746268656716418,0.0149253731343284,0,0.17910447761194,0,0.0149253731343284,0.0149253731343284,0.0895522388059701,0,0.0149253731343284,0,0,0,0.402985074626866,0,0,"syllabus155","A BOOK NAMED 'JOHN CLELAND'S MEMOIRS OF A WOMAN OF PLEASURE' et al. v. ATTORNEY GENERAL OF MASSACHUSETTS"
"156",155,0,0,0.00699300699300699,0,0,0.00699300699300699,0,0.125874125874126,0,0,0,0,0.013986013986014,0.00699300699300699,0.118881118881119,0,0,0.622377622377622,0.0979020979020979,0,"syllabus156","GINZBURG et al. v. UNITED STATES"
"157",156,0.0337078651685393,0,0.0224719101123595,0,0,0,0.0112359550561798,0,0.0561797752808989,0,0,0,0,0.348314606741573,0.112359550561798,0,0,0.415730337078652,0,0,"syllabus157","MISHKIN v. NEW YORK"
"158",157,0,0,0,0.00826446280991736,0,0,0,0,0.00826446280991736,0,0,0.0247933884297521,0,0.247933884297521,0.413223140495868,0,0.297520661157025,0,0,0,"syllabus158","ASHTON v. KENTUCKY"
"159",158,0.00917431192660551,0.00917431192660551,0,0,0.0458715596330275,0,0,0.036697247706422,0,0,0.18348623853211,0,0.073394495412844,0.458715596330275,0.174311926605505,0,0,0,0.00917431192660551,0,"syllabus159","MILLS v. ALABAMA"
"160",159,0,0,0,0.008,0,0,0.008,0.08,0,0.008,0,0,0,0.376,0,0.008,0.336,0,0.056,0.12,"syllabus160","ADDERLEY et al. v. FLORIDA"
"161",160,0,0,0,0,0,0.0954356846473029,0.356846473029046,0.211618257261411,0.012448132780083,0,0,0,0.024896265560166,0.244813278008299,0.0539419087136929,0,0,0,0,0,"syllabus161","BOND et al. v. FLOYD et al."
"162",161,0,0,0,0,0,0,0.00343642611683849,0.0274914089347079,0.0756013745704467,0.0171821305841924,0,0.00687285223367698,0,0.168384879725086,0.690721649484536,0,0.00687285223367698,0.00343642611683849,0,0,"syllabus162","TIME, INC. v. HILL"
"163",162,0.164265129682997,0,0.178674351585014,0.069164265129683,0,0,0,0.0951008645533141,0,0,0,0.00864553314121038,0,0.478386167146974,0,0,0.00288184438040346,0.00288184438040346,0,0,"syllabus163","KEYISHIAN et al. v. BOARD OF REGENTS OF THE UNIVERSITY OF THE STATE OF NEW YORK et al."
"164",163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0.0625,0,0,0,0,0,"syllabus164","TURNER et al. v. NEW YORK"
